status,entity,name,state,from_ba,to_ba,value_mwh,candidate_improvement_mwh,validated_improvement_mwh,confidence,before_abs_error_mwh,after_abs_error_mwh,reasons,egrid_mwh,eia923_mwh
accepted,3082,John Day,OR,BPAT,GRID,6793296.995999999,13586593.991999999,13586593.992000043,1.0,290546334.89700055,276959740.9050005,accepted,6793296.992,6793297.0
accepted,3895,The Dalles,OR,BPAT,GRID,5406985.001,10813970.002,10813970.002000034,1.0,276959740.9050005,266145770.90300047,accepted,5406985.002,5406985.0
accepted,2721,Cliffside,NC,DUK,CPLW,5244806.979499999,8325182.0,8325181.99999994,0.7936595219366548,266145770.90300047,257820588.90300053,accepted,5244807.0,5244806.959
accepted,55306,Gila River Power Station,AZ,SRP,AZPS,7390743.0,7810271.98,7810271.980000019,0.5283820571219972,257820588.90300053,250010316.9230005,accepted,7390743.0,7390743.0
accepted,55821,Stanton A,FL,FPC,FMPP,3546362.0,7092724.0,7092724.0,1.0,250010316.9230005,242917592.9230005,accepted,3546362.0,3546362.0
accepted,55482,Goldendale Generating Station,WA,PSEI,GCPD,2172002.0,4344004.0,4344004.0,1.0,242917592.9230005,238573588.9230005,accepted,2172002.0,2172002.0
accepted,55700,Mint Farm Generating Station,WA,PSEI,GCPD,1989583.0,3401670.0,3401670.0,0.8548700908682875,238573588.9230005,235171918.9230005,accepted,1989583.0,1989583.0
accepted,117,APS West Phoenix Power Plant,AZ,AZPS,TEPC,3053387.0,2075762.8960000016,2075762.8960000277,0.3399115303759402,235171918.9230005,233096156.0270005,accepted,3053387.0,3053387.0
accepted,10202,Fernandina Beach Mill,FL,JEA,SEC,557723.998,1115447.996,1115447.995999962,1.0,233096156.0270005,231980708.03100052,accepted,557724.0,557723.996
accepted,447,Parker Dam,CA,WALC,IID,392219.0,784438.0,784438.0,1.0,231980708.03100052,231196270.03100052,accepted,392219.0,392219.0
rejected,55112,Calpine Sutter Energy Center,CA,WALC,BANC,2135122.0,4270244.0,0.0,1.0,238573588.9230005,238573588.9230005,source and target BAs lack observed interchange tie,2135122.0,2135122.0
rejected,65577,Clearwater Wind I,MT,PSEI,NWMT,1315806.0,2565145.995000001,0.0,0.9747432353249648,235171918.9230005,235171918.9230005,source and target BAs lack observed interchange tie,1315806.0,1315806.0
rejected,50188,International Paper Co. - New Bern Mill,NC,CPLE,SEPA,196939.55,196737.99800000153,0.0,0.49948828968077147,231196270.03100052,231196270.03100052,source and target BAs lack observed interchange tie,196939.55,196939.55
