rank,state,customer_hours,customers,hours_per_customer,customer_hours_share
1,United States Virgin Islands,2356667.0,56307.0,41.85389028007175,0.0022249289580618544
2,Maine,31944610.0,820970.0,38.91081281898242,0.030158901466771627
3,Puerto Rico,50994794.25,1485262.0,34.33387122945312,0.048144177534302106
4,Michigan,128264703.25,4841201.0,26.494397412956,0.12109468692782452
5,Kentucky,34848923.5,2338856.0,14.899986788412797,0.03290086340260727
6,Oklahoma,29233071.75,2066485.0,14.146278221230737,0.027598938615288
7,Arkansas,22596647.5,1657199.0,13.63544601463071,0.021333491485163582
8,West Virginia,13744651.5,1012652.0,13.572926829750003,0.012976323401150142
9,Louisiana,30873823.25,2416753.0,12.774918764971018,0.02914797185814048
10,North Carolina,22970787.75,1821437.0,12.611354523928085,0.021686717238569346
11,Vermont,4080533.5,380092.0,10.735646896014648,0.0038524310598364096
12,Tennessee,37508328.75,3538697.0,10.599474538226923,0.035411607496680264
13,Mississippi,16491972.75,1564226.0,10.543216101765346,0.015570068977518671
14,Hawaii,5310131.25,504268.0,10.530375217146439,0.005013294109534437
15,New Hampshire,7077621.5,744556.0,9.505828305728516,0.006681981387082341
16,Texas,110537690.0,13710596.0,8.062208965970553,0.10435861640115648
17,California,124976071.5,15742165.0,7.938937973271148,0.11798989019032337
18,Missouri,21646185.5,2892799.0,7.482782419379984,0.020436160454798503
19,Ohio,38259772.75,5633131.0,6.791919582555421,0.036121045663363056
20,Georgia,34061712.75,5138121.0,6.629215767787485,0.03215765785266212
21,Alaska,2207568.75,335515.0,6.5796424899035815,0.0020841653228001284
22,Alabama,16145392.25,2647082.0,6.099317002646688,0.015242862379917246
23,Indiana,19151611.5,3253212.0,5.886985385520526,0.01808103351890633
24,Massachusetts,16885195.75,3298434.0,5.119155256706668,0.015941310752311613
25,Pennsylvania,29876994.5,6144530.0,4.862372630616174,0.028206865986117154
26,Virginia,18180683.25,3962973.0,4.5876374252360534,0.017164380305013438
27,Kansas,6279542.5,1490674.0,4.21255250980429,0.005928515123956898
28,North Dakota,1892635.0,466975.0,4.052968574334814,0.0017868364170845511
29,Illinois,23952347.0,5931849.0,4.037922576923317,0.022613407177953432
30,Maryland,9552111.75,2656350.0,3.595953752329324,0.009018147257638815
31,Florida,38053434.25,11192057.0,3.400039353802433,0.03592624151673859
32,Wisconsin,10350339.0,3085987.0,3.3539801042583783,0.009771753483566823
33,Nevada,4400502.75,1413948.0,3.1122097488733673,0.004154513980339957
34,Oregon,6276092.75,2066571.0,3.036959654422713,0.005925258215503954
35,Minnesota,8088657.75,2757863.0,2.932944004107528,0.007636500557705626
36,South Carolina,7600942.5,2832284.0,2.6836794968301203,0.007176048663987346
37,New Mexico,2802468.25,1053737.0,2.659551909062698,0.0026458098507230457
38,Washington,9096227.75,3566137.0,2.550723023260183,0.008587747242228463
39,District of Columbia,819838.5,325122.0,2.5216334176093897,0.0007740094037825426
40,Utah,3165543.5,1285473.0,2.462551527725592,0.002988589139303294
41,Idaho,2271027.5,931598.0,2.4377762725982666,0.0021440767190718155
42,New Jersey,9957167.5,4169800.0,2.3879244807904456,0.009400560329916088
43,Connecticut,3960802.5,1689447.0,2.3444372626072316,0.003739393040855491
44,Delaware,1185214.0,508412.0,2.3312077606350754,0.0011189603580396901
45,South Dakota,1070437.5,471806.0,2.2688085781020164,0.0010105998817589996
46,New York,18653457.75,8345066.0,2.235267851686254,0.017610726638917728
47,Colorado,5915909.25,2814779.0,2.1017313437395972,0.005585209027661094
48,Arizona,6656167.0,3214820.0,2.0704633540913644,0.006284086257411717
49,Iowa,3199316.0,1614450.0,1.9816754932020193,0.003020473751442448
50,Wyoming,644686.5,327888.0,1.9661790001463915,0.000608648427088572
51,Rhode Island,993347.75,507984.0,1.9554705463164195,0.0009378194604501134
52,Montana,1092275.5,621908.0,1.7563297143628962,0.0010312171342542204
53,Nebraska,1053361.25,1036741.0,1.016031245991043,0.0009944781967181754
